Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c
00QHs00002AZhB8MAL,false,,Joy,Bill,Mr.,Bill Joy,CTO,Solaris,137 Waterview  Drive,Port jeff,NY,11777,US,,,,"{""city"":""Port jeff"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""11777"",""state"":""NY"",""street"":""137 Waterview  Drive""}",6032041730,,,mohan.chinnappan.n@gmail.com,,/services/images/photo/00QHs00002AZhB8MAL,,,Open - Not Contacted,,,,,005Hs00000BkK19IAF,false,,,,,false,2025-01-29T21:15:10.000+0000,005Hs00000BkK19IAF,2025-01-29T21:15:10.000+0000,005Hs00000BkK19IAF,2025-01-29T21:15:10.000+0000,,2025-08-30T14:25:47.000+0000,2025-08-30T14:25:47.000+0000,,,Pending,,,,,,,,,,
00QHs00001pAs1uMAC,false,,Glimpse,Jeff,Mr,Jeff Glimpse,"SVP, Procurement",Jackson Controls,,,,,Taiwan,,,,"{""city"":null,""country"":""Taiwan"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",886-2-25474189,,,jeffg@jackson.com,,/services/images/photo/00QHs00001pAs1uMAC,,Phone Inquiry,Open - Not Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs1vMAC,false,,Braund,Mike,Mr,Mike Braund,"VP, Technology",Metropolitan Health Services,,,MD,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""MD"",""street"":null}",(410) 381-2334,,,likeb@metro.com,,/services/images/photo/00QHs00001pAs1vMAC,,Purchased List,Open - Not Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs1wMAC,false,,Feager,Patricia,Ms,Patricia Feager,CEO,International Shipping Co.,,,NC,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NC"",""street"":null}",(336) 777-1970,,,patricia_feager@is.com,,/services/images/photo/00QHs00001pAs1wMAC,,Partner Referral,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs1xMAC,false,,Mcclure,Brenda,Ms,Brenda Mcclure,CFO,Cadinal Inc.,,,IL,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""IL"",""street"":null}",(847) 262-5000,,,brenda@cardinal.net,,/services/images/photo/00QHs00001pAs1xMAC,,Web,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs1yMAC,false,,Maccleod,Violet,Ms,Violet Maccleod,"VP, Finance",Emerson Transport,,,GA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""GA"",""street"":null}",(770) 395-2370,,,violetm@emersontransport.com,,/services/images/photo/00QHs00001pAs1yMAC,,Phone Inquiry,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs1zMAC,false,,Snyder,Kathy,Ms,Kathy Snyder,Regional General Manager,TNR Corp.,,,CT,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CT"",""street"":null}",(860) 273-0123,,,ksynder@tnr.net,,/services/images/photo/00QHs00001pAs1zMAC,,Purchased List,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs20MAC,false,,James,Tom,Mr,Tom James,"SVP, Production",Delphi Chemicals,,,MN,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""MN"",""street"":null}",(952) 346-3500,,,tom.james@delphi.chemicals.com,,/services/images/photo/00QHs00001pAs20MAC,,Web,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs21MAC,false,,Brownell,Shelly,Ms,Shelly Brownell,"SVP, Technology",Western Telecommunications Corp.,,,CA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CA"",""street"":null}",(408) 326-9000,,,shellyb@westerntelecom.com,,/services/images/photo/00QHs00001pAs21MAC,,Partner Referral,Working - Contacted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00QHs00001pAs22MAC,false,,Owenby,Pamela,Ms,Pamela Owenby,"SVP, Technology",Hendrickson Trading,,,PA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""PA"",""street"":null}",(570) 326-1571,,,pam_owenby@hendricksontrading.com,,/services/images/photo/00QHs00001pAs22MAC,,Partner Referral,Closed - Not Converted,,,,,005Hs00000BkK19IAF,false,,,,,true,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-21T19:47:21.000+0000,005Hs00000BkK19IAF,2023-05-22T19:26:58.000+0000,,,,,,Pending,,,,,,7267,GC5000 series,Yes,John Deere,3
